[DEBUG] 2021-09-07 21:08:13.679 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-07 21:18:42.331 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-07 21:27:08.952 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:15:48.515 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:19:04.149 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:21:07.404 [] PaymentApplicationTests - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:22:03.251 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:23:29.138 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:25:53.518 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:51:31.253 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 01:53:19.483 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 11:12:05.384 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 11:16:27.165 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 11:20:11.047 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 11:21:04.608 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 14:34:33.952 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 16:15:04.162 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 16:47:37.551 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 22:43:13.161 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 22:44:20.061 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-08 23:04:17.734 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 00:56:48.356 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 00:59:52.169 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:09:45.445 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:10:22.100 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:11:48.195 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:15:49.896 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:17:48.635 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:21:03.544 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:32:38.265 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 01:50:24.782 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:00:34.963 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:41:48.109 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:45:56.438 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:49:58.465 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:56:27.503 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 09:57:42.470 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 10:52:51.789 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 11:20:05.491 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 14:08:37.466 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 14:15:35.345 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 14:32:51.089 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 14:35:26.592 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 14:48:22.041 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 15:11:19.321 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 15:29:26.498 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 15:34:22.439 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 15:41:37.694 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 22:47:58.147 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 22:48:42.396 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 22:50:39.317 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-09 22:54:36.890 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 00:45:43.536 [] PaymentApplicationTests - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 00:46:53.149 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 00:49:50.656 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 00:52:56.452 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 01:00:29.572 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 01:05:40.416 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 08:48:23.712 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 08:50:45.517 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 11:06:00.660 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 11:29:28.288 [] PaymentApplicationTests - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 11:50:22.477 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 14:55:10.991 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 15:05:45.452 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 15:07:22.832 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 15:53:00.952 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
[DEBUG] 2021-09-10 15:54:31.722 [] PaymentApplication - Running with Spring Boot v2.5.4, Spring v5.3.9
